Class Name;Current Object Name;Current Description;New Object Name;New Description
Tipo Autor;Des Tipo Autor Pai N3;;Des Tipo Autor Pai N3;
Tipo Autor;Ide Tipo Autor Pai N4;;Ide Tipo Autor Pai N4;
Tipo Autor;Cod Tipo Autor Pai Origem N4;;Cod Tipo Autor Pai Origem N4;
Tipo Autor;Des Tipo Autor Pai N4;;Des Tipo Autor Pai N4;
Tipo Autor;Ide Tipo Autor Pai N5;;Ide Tipo Autor Pai N5;
Tipo Autor;Cod Tipo Autor Pai Origem N5;;Cod Tipo Autor Pai Origem N5;
Tipo Autor;Des Tipo Autor Pai N5;;Des Tipo Autor Pai N5;
Tipo Autor;Ide Tipo Autor Pai N6;;Ide Tipo Autor Pai N6;
Tipo Autor;Cod Tipo Autor Pai Origem N6;;Cod Tipo Autor Pai Origem N6;
Tipo Autor;Des Tipo Autor Pai N6;;Des Tipo Autor Pai N6;
Tipo Autor;Nivel;;Nivel;
Órgão;Nome Órgão;Apresenta o nome dos órgãos responsáveis por apresentar proposições. Por exemplo: Superior Tribunal de Justiça, Senado Federal.;Nome Órgão;Apresenta o nome dos órgãos responsáveis por apresentar proposições. Por exemplo: Superior Tribunal de Justiça, Senado Federal.
Órgão;Ind Ativo;;Ind Ativo;
Órgão;Des Ativo;;Des Ativo;
Órgão;Cod Orgao Origem;;Cod Orgao Origem;
Órgão;Des Apelido;;Des Apelido;
Parlamentar;Nome Parlamentar;"Apresenta o nome adotado pelo Parlamentar ao tomar posse do seu mandato . Compõe-se de dois elementos: um prenome e o nome; dois nomes; ou dois prenomes, salvo, a juízo do Presidente da Casa legislativa , que poderá alterar essa regra para que não ocorram confusões. RICD, Art. 13 .";Nome Parlamentar;"Apresenta o nome adotado pelo Parlamentar ao tomar posse do seu mandato . Compõe-se de dois elementos: um prenome e o nome; dois nomes; ou dois prenomes, salvo, a juízo do Presidente da Casa legislativa , que poderá alterar essa regra para que não ocorram confusões. RICD, Art. 13 ."
Parlamentar;Nome Civil Parlamentar;Apresenta o nome civil do parlamentar. Por Exemplo: Dep. Tiririca ->Nome civil: Francisco Everardo Oliveira Silva;Nome Civil Parlamentar;Apresenta o nome civil do parlamentar. Por Exemplo: Dep. Tiririca ->Nome civil: Francisco Everardo Oliveira Silva
Parlamentar;Des Tipo Parlamentar;Mostra a descrição do tipo do parlamentar: Deputado ou Senador;Des Tipo Parlamentar;Mostra a descrição do tipo do parlamentar: Deputado ou Senador
Parlamentar;Cod Tipo Parlamentar;;Cod Tipo Parlamentar;
Parlamentar;Cod Sexo;Mostra as proposições organizadas pelo sexo do autor;Cod Sexo;Mostra as proposições organizadas pelo sexo do autor
Parlamentar;Cod Parlamentar Origem;;Cod Parlamentar Origem;
